Time,Level,Indicator,Valve,Pump
0,0,Empty,transitioning,off
1,0,Empty,transitioning,off
2,0,Empty,transitioning,off
3,0,Empty,open,off
4,29,LL,open,off
5,58,LL,open,off
6,87,LL,open,off
7,116,LL,open,off
8,145,LL,open,off
9,174,LL,open,off
10,203,LL,open,off
11,232,LL,open,off
12,261,LL,open,off
13,290,LL,open,off
14,319,L,open,off
15,348,L,open,off
16,377,L,open,off
17,406,L,open,off
18,435,L,open,off
19,464,L,open,off
20,493,L,open,off
21,522,H,open,transitioning
22,551,H,open,transitioning
23,580,H,open,transitioning
24,609,H,open,on
25,610,H,open,on
26,611,H,open,on
27,612,H,open,on
28,613,H,open,on
29,614,H,open,on
30,615,H,open,on
31,616,H,open,on
32,617,H,open,on
33,618,H,open,on
34,619,H,open,on
35,620,H,open,on
36,621,H,open,on
37,622,H,open,on
38,623,H,open,on
39,624,H,open,on
40,625,H,open,on
41,626,H,open,on
42,627,H,open,on
43,628,H,open,on
44,629,H,open,on
45,630,H,open,on
46,631,H,open,on
47,632,H,open,on
48,633,H,open,on
49,634,H,open,on
50,635,H,open,on
51,636,H,open,on
52,637,H,open,on
53,638,H,open,on
54,639,H,open,on
55,640,H,open,on
56,641,H,open,on
57,642,H,open,on
58,643,H,open,on
59,644,H,open,on
60,645,H,open,on
61,646,H,open,on
62,647,H,open,on
63,648,H,open,on
64,649,H,open,on
65,650,H,open,on
66,651,H,open,on
67,652,H,open,on
68,653,H,open,on
69,654,H,open,on
70,655,H,open,on
71,656,H,open,on
72,657,H,open,on
73,658,H,open,on
74,659,H,open,on
75,660,H,open,on
76,661,H,open,on
77,662,H,open,on
78,663,H,open,on
79,664,H,open,on
80,665,H,open,on
81,666,H,open,on
82,667,H,open,on
83,668,H,open,on
84,669,H,open,on
85,670,H,open,on
86,671,H,open,on
87,672,H,open,on
88,673,H,open,on
89,674,H,open,on
90,675,H,open,on
91,676,H,open,on
92,677,H,open,on
93,678,H,open,on
94,679,H,open,on
95,680,H,open,on
96,681,H,open,on
97,682,H,open,on
98,683,H,open,on
99,684,H,open,on
100,685,H,open,on
101,686,H,open,on
102,687,H,open,on
103,688,H,open,on
104,689,H,open,on
105,690,H,open,on
106,691,H,open,on
107,692,H,open,on
108,693,H,open,on
109,694,H,open,on
110,695,H,open,on
111,696,H,open,on
112,697,H,open,on
113,698,H,open,on
114,699,H,open,on
115,700,H,open,on
116,701,H,open,on
117,702,H,open,on
118,703,H,open,on
119,704,H,open,on
120,705,H,open,on
121,706,H,open,on
122,707,H,open,on
123,708,H,open,on
124,709,H,open,on
125,710,H,open,on
126,711,H,open,on
127,712,H,open,on
128,713,H,open,on
